,Pos,Swim,T1,Bike,T2,Run,Time,Gender,AgeGroup
0,1,1370,87,7321,112,4285,13175,1,9
1,2,1413,90,7494,92,4334,13423,1,9
2,3,1377,74,7552,121,4463,13587,1,9
3,4,1370,91,7700,116,4413,13690,1,9
4,5,1378,109,7511,127,4641,13766,1,9
5,6,1519,101,7818,97,4237,13772,1,9
6,7,1390,84,7772,104,4484,13834,1,9
7,8,1535,104,7801,118,4397,13955,1,9
9,10,1556,159,7847,158,4317,14036,1,1
10,11,1444,76,8057,89,4419,14085,1,9
11,12,1382,91,7814,127,4795,14209,1,9
12,13,1574,121,7757,122,4647,14221,1,9
13,14,1451,86,8056,122,4565,14280,1,9
14,15,1516,97,7964,121,4590,14288,1,9
15,16,1514,77,7860,113,4738,14302,1,9
16,17,1642,90,7536,100,4953,14321,1,9
17,18,1519,107,7818,117,4768,14329,1,9
18,19,1615,105,8054,127,4471,14371,1,1
19,20,1720,90,7760,111,4756,14437,1,9
20,21,1643,100,8088,103,4520,14454,1,9
21,22,1622,127,8167,113,4531,14560,1,9
22,23,1749,110,7814,132,4801,14606,1,4
23,24,1447,93,8095,120,4870,14625,1,9
24,25,1379,94,7891,107,5163,14633,1,1
25,26,1520,154,8014,150,4812,14649,1,1
26,27,1523,99,7378,110,5544,14654,1,9
27,28,1740,117,7874,145,4797,14672,1,1
28,29,1553,131,8068,158,4823,14733,1,9
29,30,1579,89,8244,102,4796,14810,0,9
30,31,1754,94,8060,114,4792,14814,1,1
31,32,1376,96,7989,119,5342,14922,1,9
32,33,1654,116,7897,164,5103,14934,1,9
33,34,1621,80,8115,113,5011,14940,1,9
34,35,1724,98,8231,104,4807,14963,1,0
35,36,1540,100,8346,109,4873,14968,1,9
36,37,1627,99,8291,151,4868,15036,1,9
37,38,1880,197,8120,144,4702,15043,1,2
38,39,1778,100,8276,116,4793,15063,1,2
39,40,1666,125,8277,191,4829,15088,1,5
40,41,1952,105,8389,140,4505,15091,1,9
41,42,1855,151,8101,134,4880,15121,1,2
42,43,1817,110,8095,116,5061,15198,1,3
43,44,1837,142,8065,134,5120,15297,1,2
44,45,1524,100,8437,163,5093,15317,1,9
45,46,1737,93,8448,117,4942,15337,0,9
46,47,1798,118,8460,119,4862,15357,1,1
47,48,1850,142,8327,146,4897,15361,1,2
48,49,1855,100,8247,113,5055,15370,1,2
49,50,1651,105,8558,126,4981,15421,1,9
50,51,1710,170,8530,131,4890,15430,1,2
51,52,1889,148,8382,189,4832,15439,1,5
52,53,1741,87,8558,125,4952,15463,0,9
53,54,1867,193,8215,146,5131,15551,1,1
54,55,1719,145,8701,156,4849,15569,1,4
55,56,1890,113,8408,156,5012,15578,1,4
56,57,1797,124,7992,129,5567,15609,1,3
57,58,1578,95,8711,129,5115,15628,0,9
58,59,1872,128,8409,153,5083,15645,1,5
59,60,1764,111,8488,128,5172,15663,1,4
60,61,2033,127,8454,135,4915,15664,1,1
61,62,1629,111,8599,380,4952,15671,1,1
62,63,1737,122,8829,126,4877,15691,0,9
63,64,1689,118,8616,112,5160,15695,1,3
64,65,1874,219,8347,116,5147,15703,1,1
65,66,1834,161,8357,126,5226,15703,1,3
66,67,1688,129,8569,135,5202,15723,1,0
67,68,1554,104,9085,123,4857,15723,1,9
68,69,1863,167,8115,153,5434,15732,1,0
69,70,1984,109,8497,130,5022,15741,1,4
